+-----------------------+-----------+------------------+-----------+------------+
| staff_name            | staff_age | staff_experience | role      | day        |
| Michael Hunt          |        38 |                5 | helper    | 2027-08-17 |
| Rachel Hanson         |        41 |                1 | security  | 2027-08-17 |
| Kevin Ford            |        50 |                5 | technical | 2027-08-17 |
| Stephanie Brewer      |        46 |                5 | security  | 2027-08-17 |
| Caleb Mitchell        |        32 |                3 | technical | 2027-08-17 |
| William Richards      |        35 |                4 | security  | 2027-08-17 |
| Delaney Hall          |        27 |                1 | technical | 2027-08-17 |
| Ariana Campbell       |        31 |                4 | helper    | 2027-08-17 |
| Justin Diaz           |        32 |                1 | helper    | 2027-08-17 |
| Valeria Perez         |        30 |                1 | security  | 2027-08-17 |
| Isabel Diaz           |        41 |                5 | helper    | 2027-08-17 |
| Benjamin Reed         |        43 |                3 | security  | 2027-08-17 |
| Christopher Wilson    |        30 |                3 | security  | 2027-08-17 |
| Robert Bennett        |        25 |                4 | technical | 2027-08-17 |
| Robert Baker          |        25 |                2 | security  | 2025-12-25 |
| Amanda Barrett        |        32 |                5 | technical | 2025-12-25 |
| Andrew Turner         |        36 |                5 | security  | 2025-12-25 |
| Kevin Allen           |        37 |                2 | security  | 2025-12-25 |
| David Roberts         |        25 |                4 | security  | 2025-12-25 |
| Max Turner            |        43 |                5 | helper    | 2025-12-25 |
| Stephanie Ford        |        46 |                1 | technical | 2025-12-25 |
| Caleb Hunt            |        38 |                4 | security  | 2025-12-25 |
| John Roberts          |        37 |                1 | helper    | 2025-12-25 |
| Isabella Hale         |        39 |                4 | helper    | 2025-12-25 |
| Luna Ellis            |        28 |                5 | technical | 2025-12-25 |
| Nathan Reed           |        43 |                4 | security  | 2025-12-25 |
| Luna Russell          |        28 |                5 | technical | 2025-12-25 |
| Luna Hall             |        45 |                3 | security  | 2025-12-25 |
| Jessica Cole          |        44 |                5 | helper    | 2025-12-25 |
| John Armstrong        |        47 |                4 | security  | 2025-12-25 |
| Eli Hamilton          |        36 |                2 | helper    | 2025-12-25 |
| Benjamin Warren       |        36 |                1 | security  | 2025-12-25 |
| John Moreno           |        49 |                1 | security  | 2025-12-25 |
| Mia Ray               |        42 |                5 | security  | 2025-12-25 |
| Isabel Armstrong      |        47 |                4 | security  | 2025-12-25 |
| Lauren Barrett        |        47 |                4 | helper    | 2025-12-25 |
| Andrew Warren         |        28 |                3 | helper    | 2025-12-25 |
| Jocelyn Young         |        37 |                2 | security  | 2025-12-25 |
| William Hanson        |        35 |                5 | technical | 2025-12-25 |
| Daniel Ford           |        35 |                1 | security  | 2028-02-10 |
| Liam West             |        43 |                2 | security  | 2028-02-10 |
| Bryce Perez           |        45 |                4 | technical | 2028-02-10 |
| Robert Martinez       |        28 |                4 | security  | 2028-02-10 |
| Liam Ellis            |        31 |                4 | helper    | 2028-02-10 |
| Sarah Armstrong       |        34 |                5 | security  | 2028-02-10 |
| Max Smith             |        41 |                2 | security  | 2028-02-10 |
| Miles Mitchell        |        26 |                3 | security  | 2028-02-10 |
| Charlotte Stevens     |        49 |                4 | technical | 2028-02-10 |
| Brooklyn Ellis        |        43 |                5 | security  | 2028-02-10 |
| Charlotte Griffin     |        36 |                4 | helper    | 2028-02-10 |
| Ava Spencer           |        31 |                5 | security  | 2028-02-10 |
| Christopher Scott     |        47 |                1 | helper    | 2028-02-10 |
| Delaney Crawford      |        27 |                4 | security  | 2028-02-10 |
| Lauren Smith          |        42 |                5 | security  | 2028-02-10 |
| Charlotte Moreno      |        40 |                2 | security  | 2028-02-10 |
| Bryce West            |        27 |                1 | helper    | 2028-02-10 |
| Sophia Campbell       |        34 |                2 | security  | 2028-02-10 |
| Valeria Young         |        33 |                1 | technical | 2028-02-10 |
| Sarah Hall            |        44 |                4 | helper    | 2028-02-10 |
| William Roberts       |        36 |                1 | security  | 2028-02-10 |
| Isabel Wilson         |        37 |                3 | technical | 2028-02-10 |
| Mackenzie Lawson      |        40 |                5 | helper    | 2028-02-10 |
| Bryce Griffin         |        32 |                4 | technical | 2028-02-10 |
| Noah Crawford         |        37 |                4 | helper    | 2028-02-10 |
| Rachel Roberts        |        25 |                1 | helper    | 2026-09-13 |
| Preston Johnson       |        48 |                4 | security  | 2026-09-13 |
| David Harris          |        40 |                1 | security  | 2026-09-13 |
| Amanda Ford           |        42 |                2 | security  | 2026-09-13 |
| Ariana Warren         |        30 |                3 | security  | 2026-09-13 |
| Stephanie King        |        28 |                5 | security  | 2026-09-13 |
| Joshua Moreno         |        32 |                2 | helper    | 2026-09-13 |
| Liam Davis            |        29 |                4 | security  | 2026-09-13 |
| Miles Perez           |        39 |                3 | helper    | 2026-09-13 |
| Isabella Richards     |        46 |                2 | technical | 2026-09-13 |
| Jocelyn Spencer       |        38 |                3 | technical | 2026-09-13 |
| Noah Warren           |        31 |                4 | helper    | 2026-09-13 |
| Charlotte Thompson    |        48 |                3 | technical | 2026-09-13 |
| Jude Hanson           |        25 |                3 | security  | 2026-09-13 |
| Emily Perez           |        27 |                4 | security  | 2026-09-13 |
| Emily Hale            |        33 |                4 | technical | 2026-09-13 |
| Ava Griffin           |        30 |                1 | helper    | 2026-09-13 |
| Naomi Crawford        |        28 |                4 | helper    | 2026-09-13 |
| Caleb Olson           |        47 |                2 | helper    | 2026-09-13 |
| Naomi Cole            |        34 |                3 | security  | 2026-09-13 |
| Max Ellis             |        34 |                1 | security  | 2026-09-13 |
| Michael Smith         |        49 |                2 | security  | 2026-09-13 |
| Kevin Green           |        48 |                2 | security  | 2026-09-13 |
| Faith Perkins         |        41 |                3 | technical | 2026-09-13 |
| Bryce Ellis           |        32 |                5 | security  | 2026-09-13 |
| Sarah Nelson          |        33 |                5 | technical | 2027-05-06 |
| Emily Ford            |        38 |                3 | security  | 2027-05-06 |
| Mackenzie Griffin     |        37 |                5 | technical | 2027-05-06 |
| Brady Roberts         |        38 |                4 | security  | 2027-05-06 |
| Robert Barrett        |        30 |                5 | security  | 2027-05-06 |
| Benjamin Diaz         |        41 |                3 | helper    | 2027-05-06 |
| Max Myers             |        44 |                4 | security  | 2027-05-06 |
| Brady Campbell        |        25 |                4 | technical | 2027-05-06 |
| Max Harris            |        32 |                4 | helper    | 2027-05-06 |
| Emma Cole             |        44 |                5 | security  | 2027-05-06 |
| Eli Ford              |        36 |                5 | helper    | 2027-05-06 |
| Charlotte Armstrong   |        50 |                1 | technical | 2027-05-06 |
| Ava Allen             |        27 |                4 | helper    | 2027-05-06 |
| Rachel Andrews        |        26 |                4 | technical | 2027-05-06 |
| Amanda Mitchell       |        39 |                1 | helper    | 2027-05-06 |
| Emily Scott           |        49 |                2 | security  | 2027-05-06 |
| Jocelyn Smith         |        47 |                3 | helper    | 2027-05-06 |
| Delaney Young         |        29 |                2 | security  | 2027-05-06 |
| Andrew Hunt           |        31 |                5 | security  | 2027-05-06 |
| Megan Thompson        |        32 |                3 | security  | 2027-05-06 |
| Noah Ellis            |        32 |                1 | security  | 2027-05-06 |
| Megan Mitchell        |        36 |                5 | security  | 2027-05-06 |
| Isabel Hayes          |        27 |                1 | helper    | 2027-05-06 |
| Naomi Ford            |        34 |                4 | security  | 2027-05-06 |
| Matthew Perkins       |        43 |                5 | security  | 2027-05-06 |
| Robert Cole           |        33 |                5 | security  | 2025-04-15 |
| Lauren Spencer        |        34 |                5 | helper    | 2025-04-15 |
| Benjamin Perkins      |        25 |                4 | security  | 2025-04-15 |
| Bryce Thompson        |        42 |                4 | security  | 2025-04-15 |
| Ariana Nelson         |        33 |                2 | security  | 2025-04-15 |
| Lauren Ford           |        48 |                2 | technical | 2025-04-15 |
| Leo Scott             |        41 |                4 | security  | 2025-04-15 |
| Andrew Hall           |        43 |                1 | technical | 2025-04-15 |
| Ariana Hale           |        45 |                3 | helper    | 2025-04-15 |
| Michael Reed          |        45 |                3 | helper    | 2025-04-15 |
| Luna Thompson         |        42 |                1 | helper    | 2025-04-15 |
| Noah Powell           |        43 |                2 | security  | 2025-04-15 |
| Valeria Lawson        |        31 |                3 | helper    | 2025-04-15 |
| Sophia Martinez       |        49 |                3 | technical | 2025-04-15 |
| Naomi Powell          |        43 |                4 | technical | 2025-04-15 |
| David Nelson          |        30 |                3 | security  | 2025-04-15 |
| Miles Powell          |        30 |                1 | security  | 2025-04-15 |
| Anthony Douglas       |        50 |                1 | security  | 2025-04-15 |
| Liam Hale             |        50 |                2 | helper    | 2025-04-15 |
| William Lawson        |        47 |                3 | security  | 2025-04-15 |
| Camila Harris         |        25 |                5 | security  | 2025-04-15 |
| Anthony Hanson        |        25 |                2 | security  | 2025-04-15 |
| Lucas Richards        |        32 |                2 | security  | 2025-04-15 |
| Michael Warren        |        45 |                2 | helper    | 2025-04-15 |
| Rachel Perkins        |        25 |                5 | technical | 2025-04-15 |
| Stephanie Moreno      |        44 |                4 | technical | 2026-11-04 |
| Max Ford              |        25 |                4 | security  | 2026-11-04 |
| Sophia Diaz           |        44 |                3 | helper    | 2026-11-04 |
| Simon Ford            |        38 |                3 | technical | 2026-11-04 |
| Brandon West          |        31 |                1 | security  | 2026-11-04 |
| Nathan Adams          |        34 |                2 | security  | 2026-11-04 |
| Preston Turner        |        27 |                1 | helper    | 2026-11-04 |
| Benjamin Torres       |        44 |                2 | helper    | 2026-11-04 |
| Eli Roberts           |        42 |                5 | security  | 2026-11-04 |
| Matthew Smith         |        39 |                3 | security  | 2026-11-04 |
| Anthony Harris        |        47 |                1 | technical | 2026-11-04 |
| Vivian Reed           |        50 |                1 | security  | 2026-11-04 |
| Leo Johnson           |        41 |                4 | technical | 2026-11-04 |
| Brooklyn West         |        28 |                2 | security  | 2026-11-04 |
| Caleb Johnson         |        41 |                5 | security  | 2026-11-04 |
| Bryce King            |        25 |                5 | helper    | 2026-11-04 |
| Lauren Torres         |        27 |                2 | security  | 2026-11-04 |
| Isabella Hanson       |        25 |                3 | helper    | 2026-11-04 |
| David Perkins         |        40 |                4 | security  | 2026-11-04 |
| Luna King             |        33 |                2 | helper    | 2026-11-04 |
| Eli Scott             |        45 |                1 | security  | 2026-11-04 |
| Caleb Crawford        |        26 |                4 | security  | 2026-11-04 |
| Christopher Griffin   |        44 |                4 | security  | 2026-11-04 |
| Ariana Harris         |        29 |                3 | helper    | 2026-11-04 |
| Brittany Nelson       |        25 |                5 | technical | 2026-11-04 |
| Megan Russell         |        45 |                1 | technical | 2028-07-21 |
| Brandon Smith         |        47 |                3 | helper    | 2028-07-21 |
| Caleb Lewis           |        42 |                3 | security  | 2028-07-21 |
| Cole Hayes            |        37 |                3 | technical | 2028-07-21 |
| Eli Campbell          |        31 |                5 | security  | 2028-07-21 |
| Eli Ellis             |        38 |                2 | security  | 2028-07-21 |
| Jessica King          |        33 |                3 | security  | 2028-07-21 |
| Matthew Clark         |        47 |                2 | helper    | 2028-07-21 |
| Benjamin Jenkins      |        27 |                4 | security  | 2028-07-21 |
| Charlotte Hamilton    |        41 |                1 | security  | 2028-07-21 |
| Camila Armstrong      |        45 |                2 | security  | 2028-07-21 |
| Isabella Crawford     |        44 |                4 | security  | 2028-07-21 |
| Olivia Sullivan       |        31 |                1 | helper    | 2028-07-21 |
| David Perez           |        41 |                1 | helper    | 2028-07-21 |
| Joshua Perkins        |        47 |                2 | helper    | 2028-07-21 |
| Brady Hale            |        40 |                2 | technical | 2028-07-21 |
| Daniel Russell        |        29 |                4 | security  | 2028-07-21 |
| Bryce Campbell        |        26 |                1 | helper    | 2028-07-21 |
| Jocelyn Hanson        |        36 |                3 | security  | 2028-07-21 |
| Isabella Olson        |        34 |                1 | security  | 2028-07-21 |
| Nicole Thompson       |        35 |                3 | security  | 2028-07-21 |
| Lauren Roberts        |        44 |                3 | technical | 2028-07-21 |
| Charlotte Green       |        30 |                2 | technical | 2028-07-21 |
| James Hanson          |        49 |                4 | helper    | 2028-07-21 |
| Sarah Thompson        |        31 |                3 | security  | 2028-07-21 |
| Mackenzie King        |        47 |                5 | security  | 2025-01-28 |
| Nathan Wright         |        33 |                3 | security  | 2025-01-28 |
| Camila Hamilton       |        27 |                1 | technical | 2025-01-28 |
| Nicole Diaz           |        49 |                4 | helper    | 2025-01-28 |
| Emma Reed             |        34 |                5 | technical | 2025-01-28 |
| Olivia Davis          |        50 |                5 | helper    | 2025-01-28 |
| Brady Lewis           |        27 |                1 | technical | 2025-01-28 |
| Stephanie Perez       |        40 |                2 | security  | 2025-01-28 |
| Luna Crawford         |        35 |                1 | security  | 2025-01-28 |
| Emma Campbell         |        41 |                2 | security  | 2025-01-28 |
| Daniel Hunt           |        37 |                3 | security  | 2025-01-28 |
| Ariana Andrews        |        29 |                3 | security  | 2025-01-28 |
| John King             |        49 |                4 | security  | 2025-01-28 |
| Kylie Crawford        |        25 |                4 | technical | 2025-01-28 |
| Mia Mitchell          |        32 |                4 | security  | 2025-01-28 |
| Emily Hayes           |        28 |                1 | helper    | 2025-01-28 |
| Sophia Ray            |        49 |                1 | helper    | 2025-01-28 |
| Jude Hunt             |        25 |                2 | technical | 2025-01-28 |
| Delaney King          |        38 |                1 | helper    | 2025-01-28 |
| Ariana Allen          |        45 |                3 | security  | 2025-01-28 |
| Faith Perez           |        25 |                3 | security  | 2025-01-28 |
| Robert Torres         |        29 |                1 | helper    | 2025-01-28 |
| Luna Smith            |        46 |                5 | security  | 2025-01-28 |
| Charlotte Jenkins     |        36 |                1 | security  | 2025-01-28 |
| William Andrews       |        35 |                4 | helper    | 2025-01-28 |
| Camila Olson          |        28 |                4 | security  | 2025-03-10 |
| Cole Jenkins          |        33 |                2 | security  | 2025-03-10 |
| Noah Douglas          |        25 |                4 | technical | 2025-03-10 |
| Caleb Hamilton        |        47 |                4 | security  | 2025-03-10 |
| Luna Hamilton         |        45 |                3 | security  | 2025-03-10 |
| Isabel Hale           |        48 |                1 | security  | 2025-03-10 |
| John Torres           |        27 |                4 | helper    | 2025-03-10 |
| Joshua Ray            |        25 |                3 | security  | 2025-03-10 |
| Luna Roberts          |        45 |                4 | technical | 2025-03-10 |
| Robert Scott          |        49 |                3 | helper    | 2025-03-10 |
| Max Brewer            |        28 |                5 | helper    | 2025-03-10 |
| Olivia Spencer        |        31 |                3 | security  | 2025-03-10 |
| James Lee             |        43 |                5 | technical | 2025-03-10 |
| Daniel Hale           |        46 |                5 | security  | 2025-03-10 |
| Camila Ford           |        27 |                1 | security  | 2025-03-10 |
| Olivia Douglas        |        35 |                4 | helper    | 2025-03-10 |
| Emma Hale             |        36 |                5 | helper    | 2025-03-10 |
| Cole Ray              |        38 |                3 | helper    | 2025-03-10 |
| Jessica Torres        |        36 |                5 | security  | 2025-03-10 |
| Rachel Young          |        47 |                4 | technical | 2025-03-10 |
| Nicole Adams          |        37 |                2 | security  | 2025-03-10 |
| Luna Myers            |        26 |                5 | helper    | 2025-03-10 |
| Robert Andrews        |        36 |                4 | technical | 2025-03-10 |
| Jessica Douglas       |        39 |                4 | security  | 2025-03-10 |
| Mia Scott             |        42 |                4 | security  | 2025-03-10 |
| Ashley Douglas        |        27 |                2 | security  | 2026-10-23 |
| Brady Martinez        |        33 |                2 | technical | 2026-10-23 |
| Charlotte Adams       |        41 |                3 | helper    | 2026-10-23 |
| James Jenkins         |        38 |                5 | helper    | 2026-10-23 |
| Delaney Myers         |        33 |                3 | helper    | 2026-10-23 |
| William Wright        |        29 |                2 | technical | 2026-10-23 |
| Mackenzie Adams       |        40 |                2 | helper    | 2026-10-23 |
| Jude Warren           |        29 |                2 | helper    | 2026-10-23 |
| Nathan Hayes          |        28 |                4 | helper    | 2026-10-23 |
| Stephanie Hayes       |        38 |                2 | security  | 2026-10-23 |
| Nathan Mitchell       |        50 |                5 | security  | 2026-10-23 |
| Brady Warren          |        41 |                5 | technical | 2026-10-23 |
| James Hamilton        |        46 |                3 | security  | 2026-10-23 |
| Eli Stevens           |        50 |                4 | security  | 2026-10-23 |
| Luna Barrett          |        39 |                1 | technical | 2026-10-23 |
| Ava Smith             |        29 |                5 | security  | 2026-10-23 |
| Naomi Bennett         |        29 |                3 | security  | 2026-10-23 |
| Sophia Griffin        |        37 |                3 | security  | 2026-10-23 |
| Olivia Adams          |        43 |                4 | security  | 2026-10-23 |
| Mackenzie Cole        |        35 |                1 | technical | 2026-10-23 |
| Kevin Thompson        |        46 |                3 | security  | 2026-10-23 |
| Anthony Barrett       |        50 |                4 | security  | 2026-10-23 |
| Lucas Hall            |        47 |                5 | security  | 2026-10-23 |
| Kevin Johnson         |        39 |                2 | helper    | 2026-10-23 |
| Joshua Hall           |        35 |                5 | security  | 2026-10-23 |
| Isabella Green        |        34 |                2 | technical | 2027-06-17 |
| Caleb Douglas         |        27 |                2 | security  | 2027-06-17 |
| Lauren Myers          |        29 |                5 | helper    | 2027-06-17 |
| Jocelyn Martinez      |        33 |                3 | security  | 2027-06-17 |
| Vivian Crawford       |        25 |                5 | security  | 2027-06-17 |
| Faith Russell         |        43 |                3 | security  | 2027-06-17 |
| Eli Green             |        35 |                5 | security  | 2027-06-17 |
| Jessica Richards      |        34 |                3 | helper    | 2027-06-17 |
| Charlotte Cole        |        46 |                1 | technical | 2027-06-17 |
| Benjamin Olson        |        36 |                4 | technical | 2027-06-17 |
| Jocelyn Powell        |        34 |                5 | security  | 2027-06-17 |
| Stephanie Wright      |        27 |                3 | security  | 2027-06-17 |
| John Turner           |        47 |                5 | security  | 2027-06-17 |
| Megan Hale            |        40 |                5 | security  | 2027-06-17 |
| Benjamin Barrett      |        43 |                3 | security  | 2027-06-17 |
| Max Bennett           |        40 |                2 | security  | 2027-06-17 |
| Michael Mitchell      |        46 |                1 | helper    | 2027-06-17 |
| David Richards        |        45 |                4 | technical | 2027-06-17 |
| David Sullivan        |        48 |                1 | security  | 2027-06-17 |
| Stephanie Ray         |        36 |                3 | helper    | 2027-06-17 |
| Jude Moreno           |        26 |                3 | security  | 2027-06-17 |
| Naomi Andrews         |        45 |                3 | technical | 2027-06-17 |
| Max Hayes             |        39 |                5 | helper    | 2027-06-17 |
| Leo Olson             |        45 |                2 | helper    | 2027-06-17 |
| David Myers           |        38 |                3 | helper    | 2027-06-17 |
| Lucas Lawson          |        28 |                4 | security  | 2026-12-07 |
| Robert Perez          |        49 |                1 | security  | 2026-12-07 |
| Olivia Armstrong      |        33 |                1 | security  | 2026-12-07 |
| Camila Scott          |        40 |                1 | technical | 2026-12-07 |
| Naomi Hunt            |        44 |                1 | security  | 2026-12-07 |
| Isabel Andrews        |        45 |                1 | security  | 2026-12-07 |
| Cole Perez            |        50 |                5 | helper    | 2026-12-07 |
| Naomi Hayes           |        36 |                3 | technical | 2026-12-07 |
| Stephanie Warren      |        31 |                3 | technical | 2026-12-07 |
| Brittany Reed         |        50 |                5 | technical | 2026-12-07 |
| Simon Jenkins         |        48 |                4 | helper    | 2026-12-07 |
| Liam Russell          |        49 |                3 | helper    | 2026-12-07 |
| Brady Ellis           |        50 |                4 | helper    | 2026-12-07 |
| Sarah Bennett         |        47 |                1 | security  | 2026-12-07 |
| Max Griffin           |        34 |                3 | security  | 2026-12-07 |
| Jude Johnson          |        43 |                3 | security  | 2026-12-07 |
| Nathan Hamilton       |        41 |                2 | helper    | 2026-12-07 |
| David Baker           |        37 |                1 | security  | 2026-12-07 |
| Emma Ellis            |        38 |                4 | security  | 2026-12-07 |
| Kevin Scott           |        47 |                5 | security  | 2026-12-07 |
| Emma Young            |        25 |                5 | helper    | 2026-12-07 |
| Kylie Hamilton        |        43 |                1 | technical | 2026-12-07 |
| Faith Brewer          |        37 |                1 | security  | 2026-12-07 |
| Nicole Jenkins        |        42 |                1 | helper    | 2026-12-07 |
| Daniel Bennett        |        44 |                3 | security  | 2026-12-07 |
| Justin Davis          |        28 |                1 | helper    | 2025-09-05 |
| Noah Wilson           |        50 |                1 | security  | 2025-09-05 |
| Sarah Clark           |        44 |                5 | helper    | 2025-09-05 |
| Robert Diaz           |        29 |                2 | security  | 2025-09-05 |
| Emma Powell           |        26 |                5 | security  | 2025-09-05 |
| Nathan Baker          |        29 |                5 | technical | 2025-09-05 |
| Isabel Lee            |        34 |                1 | helper    | 2025-09-05 |
| Olivia Barrett        |        35 |                3 | security  | 2025-09-05 |
| Michael Diaz          |        31 |                3 | helper    | 2025-09-05 |
| Lauren Perkins        |        25 |                5 | security  | 2025-09-05 |
| Isabel Campbell       |        30 |                4 | technical | 2025-09-05 |
| Michael Torres        |        35 |                3 | security  | 2025-09-05 |
| John Spencer          |        43 |                3 | helper    | 2025-09-05 |
| Mia Martinez          |        26 |                3 | technical | 2025-09-05 |
| Justin Warren         |        44 |                3 | helper    | 2025-09-05 |
| Brandon Reed          |        25 |                4 | technical | 2025-09-05 |
| Mia Davis             |        37 |                3 | technical | 2025-09-05 |
| Brittany Clark        |        40 |                3 | security  | 2025-09-05 |
| Jessica Wright        |        38 |                5 | security  | 2025-09-05 |
| Amanda Stevens        |        29 |                1 | security  | 2025-09-05 |
| Eli West              |        49 |                4 | helper    | 2025-09-05 |
| Miles Scott           |        43 |                2 | security  | 2025-09-05 |
| Jude Adams            |        47 |                4 | security  | 2025-09-05 |
| Brooklyn Perez        |        31 |                1 | security  | 2025-09-05 |
| Nicole Green          |        27 |                2 | security  | 2025-09-05 |
| Isabella Spencer      |        27 |                2 | security  | 2028-06-24 |
| Brooklyn Lee          |        39 |                5 | helper    | 2028-06-24 |
| Brooklyn Richards     |        25 |                4 | technical | 2028-06-24 |
| Ariana Douglas        |        33 |                1 | security  | 2028-06-24 |
| Mackenzie Brewer      |        42 |                5 | technical | 2028-06-24 |
| Daniel Wilson         |        47 |                3 | helper    | 2028-06-24 |
| Faith Baker           |        42 |                5 | technical | 2028-06-24 |
| Cole Spencer          |        38 |                1 | security  | 2028-06-24 |
| Eli Clark             |        42 |                1 | helper    | 2028-06-24 |
| Mackenzie Moreno      |        35 |                1 | security  | 2028-06-24 |
| Justin Hunt           |        34 |                4 | helper    | 2028-06-24 |
| Leo Cole              |        32 |                3 | helper    | 2028-06-24 |
| Caleb Warren          |        28 |                3 | helper    | 2028-06-24 |
| Ariana Adams          |        30 |                4 | security  | 2028-06-24 |
| Jude Lawson           |        38 |                5 | technical | 2028-06-24 |
| Liam Hanson           |        33 |                5 | security  | 2028-06-24 |
| Brandon Lee           |        40 |                2 | security  | 2028-06-24 |
| Jude Roberts          |        35 |                3 | helper    | 2028-06-24 |
| Jessica Davis         |        32 |                3 | security  | 2028-06-24 |
| Daniel Griffin        |        45 |                1 | security  | 2028-06-24 |
| John Russell          |        29 |                5 | security  | 2028-06-24 |
| Andrew Harris         |        40 |                3 | security  | 2028-06-24 |
| Mackenzie Martinez    |        46 |                5 | security  | 2028-06-24 |
| David Mitchell        |        40 |                5 | security  | 2028-06-24 |
| Caleb Hall            |        26 |                1 | technical | 2028-06-24 |
| Nicole Olson          |        29 |                2 | helper    | 2027-01-13 |
| Nicole West           |        39 |                2 | helper    | 2027-01-13 |
| Preston Jenkins       |        29 |                4 | security  | 2027-01-13 |
| Benjamin West         |        29 |                5 | security  | 2027-01-13 |
| Isabella Moreno       |        36 |                4 | helper    | 2027-01-13 |
| Brooklyn Ray          |        40 |                2 | technical | 2027-01-13 |
| Matthew Lewis         |        40 |                2 | security  | 2027-01-13 |
| Isabel Wright         |        45 |                5 | technical | 2027-01-13 |
| William Olson         |        40 |                4 | helper    | 2027-01-13 |
| Andrew Nelson         |        36 |                3 | technical | 2027-01-13 |
| Sophia Hunt           |        46 |                1 | technical | 2027-01-13 |
| Ashley Young          |        38 |                3 | helper    | 2027-01-13 |
| Lucas Roberts         |        35 |                4 | security  | 2027-01-13 |
| Jessica Hunt          |        31 |                3 | security  | 2027-01-13 |
| Ashley Wright         |        35 |                1 | security  | 2027-01-13 |
| Cole Lee              |        30 |                4 | security  | 2027-01-13 |
| Ashley Brewer         |        38 |                5 | security  | 2027-01-13 |
| Justin Campbell       |        40 |                1 | security  | 2027-01-13 |
| Brandon Lawson        |        36 |                4 | security  | 2027-01-13 |
| Max Perkins           |        44 |                2 | helper    | 2027-01-13 |
| Jocelyn Olson         |        30 |                3 | technical | 2027-01-13 |
| Lucas Powell          |        50 |                5 | helper    | 2027-01-13 |
| Faith Ellis           |        35 |                5 | security  | 2027-01-13 |
| Delaney Hunt          |        31 |                5 | security  | 2027-01-13 |
| Nicole Hunt           |        31 |                2 | security  | 2027-01-13 |
| Brady Jenkins         |        48 |                3 | security  | 2025-08-09 |
| John Lawson           |        28 |                3 | security  | 2025-08-09 |
| Naomi Spencer         |        36 |                3 | technical | 2025-08-09 |
| Kylie Ray             |        41 |                1 | helper    | 2025-08-09 |
| Valeria Allen         |        33 |                2 | helper    | 2025-08-09 |
| Lucas Young           |        38 |                2 | helper    | 2025-08-09 |
| Amanda Martinez       |        48 |                2 | helper    | 2025-08-09 |
| Faith Stevens         |        34 |                1 | security  | 2025-08-09 |
| Michael Hale          |        43 |                1 | helper    | 2025-08-09 |
| Isabella Nelson       |        34 |                4 | security  | 2025-08-09 |
| Vivian Baker          |        36 |                1 | security  | 2025-08-09 |
| Faith Thompson        |        37 |                3 | technical | 2025-08-09 |
| Brittany Andrews      |        36 |                4 | technical | 2025-08-09 |
| Emma Baker            |        31 |                1 | helper    | 2025-08-09 |
| Brittany Barrett      |        30 |                5 | security  | 2025-08-09 |
| Sarah Richards        |        46 |                1 | security  | 2025-08-09 |
| Mia Barrett           |        44 |                3 | security  | 2025-08-09 |
| Miles Hale            |        50 |                4 | security  | 2025-08-09 |
| Brooklyn Hall         |        25 |                5 | security  | 2025-08-09 |
| James Richards        |        28 |                1 | security  | 2025-08-09 |
| Daniel Harris         |        38 |                4 | security  | 2025-08-09 |
| Kylie Clark           |        27 |                3 | technical | 2025-08-09 |
| Christopher Thompson  |        38 |                2 | security  | 2025-08-09 |
| William Martinez      |        43 |                3 | helper    | 2025-08-09 |
| Brooklyn Torres       |        46 |                5 | technical | 2025-08-09 |
| Kylie King            |        30 |                2 | security  | 2025-03-16 |
| Max Martinez          |        38 |                1 | helper    | 2025-03-16 |
| Jude Hamilton         |        26 |                1 | security  | 2025-03-16 |
| Ariana Bennett        |        28 |                5 | security  | 2025-03-16 |
| Miles Adams           |        47 |                4 | security  | 2025-03-16 |
| Nicole Hale           |        44 |                1 | security  | 2025-03-16 |
| Matthew Cole          |        28 |                3 | security  | 2025-03-16 |
| Miles Bennett         |        41 |                5 | helper    | 2025-03-16 |
| Isabel Lewis          |        50 |                3 | security  | 2025-03-16 |
| Brandon Turner        |        46 |                2 | technical | 2025-03-16 |
| Jessica Lee           |        26 |                4 | helper    | 2025-03-16 |
| Eli Douglas           |        31 |                4 | security  | 2025-03-16 |
| Sophia Warren         |        44 |                2 | helper    | 2025-03-16 |
| Emily Clark           |        40 |                4 | security  | 2025-03-16 |
| Emma Wright           |        30 |                3 | helper    | 2025-03-16 |
| Valeria Hall          |        37 |                4 | technical | 2025-03-16 |
| Benjamin Scott        |        39 |                5 | technical | 2025-03-16 |
| Faith Wilson          |        32 |                2 | security  | 2025-03-16 |
| Liam Brewer           |        50 |                2 | technical | 2025-03-16 |
| Brooklyn Clark        |        32 |                1 | helper    | 2025-03-16 |
| Olivia Perkins        |        36 |                1 | technical | 2025-03-16 |
| Jude Hall             |        38 |                1 | helper    | 2025-03-16 |
| Brandon Roberts       |        43 |                3 | security  | 2025-03-16 |
| Valeria Barrett       |        39 |                2 | security  | 2025-03-16 |
| Isabella Brewer       |        47 |                4 | security  | 2025-03-16 |
| Brittany Adams        |        43 |                1 | security  | 2025-05-11 |
| Cole Clark            |        32 |                5 | security  | 2025-05-11 |
| Amanda Roberts        |        40 |                2 | technical | 2025-05-11 |
| Nathan Sullivan       |        50 |                3 | security  | 2025-05-11 |
| Vivian Wright         |        47 |                1 | security  | 2025-05-11 |
| David Campbell        |        38 |                3 | security  | 2025-05-11 |
